"","gene_id","SRR8733171.count","SRR8733183.count","SRR8733192.count","SRR8733197.count","SRR8733198.count","SRR8733200.count","SRR8733205.count","SRR8733221.count","SRR8733230.count","SRR8733232.count","SRR8733237.count","SRR8733238.count","SRR8733255.count","SRR8733265.count","SRR8733266.count","SRR8733270.count","SRR8733275.count","SRR8733278.count","SRR8733291.count","SRR8733302.count","SRR8733313.count","SRR8733317.count","SRR8733319.count","SRR8733328.count","SRR8733334.count","SRR8733337.count","SRR8733340.count","SRR8733345.count","SRR8733359.count","SRR8733371.count","SRR8733374.count"
"310","hsa-miR-148a-3p",19,3,2,6,4,10,5,24,14,11,28,9,6,4,1,9,10,1,5,23,27,3,52,7,1,15,7,12,10,18,8
"311","hsa-miR-148a-5p",0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,1,4,0,0,3,0,0,0,0,1,1,0,0
"312","hsa-miR-148b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313","hsa-miR-148b-5p",2,0,0,0,1,0,0,0,0,2,4,0,0,20,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"314","hsa-miR-149-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315","hsa-miR-149-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316","hsa-miR-150-3p",60,7,9,7,3,16,15,11,31,31,50,3,14,76,7,23,23,8,4,67,59,4,240,21,3,15,7,26,49,29,4
"317","hsa-miR-150-5p",12,3,2,6,5,4,7,11,31,28,10,3,2,16,5,7,6,3,0,17,18,4,26,3,2,4,3,13,9,3,8
"318","hsa-miR-151a-3p",0,7,0,0,0,0,0,7,1,2,0,3,0,32,5,0,0,1,0,10,12,0,43,0,0,0,0,10,3,0,0
"319","hsa-miR-151a-5p",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"320","hsa-miR-151b",8,3,2,3,3,6,6,4,28,18,5,3,2,23,1,5,8,2,5,18,23,4,31,2,2,6,5,8,8,6,2
"321","hsa-miR-152-3p",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"322","hsa-miR-152-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"323","hsa-miR-153-3p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"324","hsa-miR-153-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325","hsa-miR-1537-3p",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
