"","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count"
"hsa-miR-1225-3p",0,0,0,0,13.1920900228223,0,0,20.3607932565053,0,0,0,0
"hsa-miR-1225-5p",0,0,0,0,0,9.39311109232489,0,0,0,0,0,0
"hsa-miR-1226-3p",1508.89257179608,1181.32006233348,1824.34641928988,1355.83006929798,2137.11858369721,2958.82999408234,2297.49873500814,2158.24408518956,2955.63553646656,2852.63000231478,2551.99906593498,2654.36390065095
"hsa-miR-1226-5p",841.022089197813,728.899612929171,636.800165223827,710.196702965609,2137.11858369721,2498.56755055842,1982.96021771536,1934.275359368,553.713999236773,388.066611293419,250.195986856371,294.92932229455
"hsa-miR-1227-3p",197.887550399485,326.748102347559,68.8432611052786,107.605561055395,26.3841800456446,65.7517776462742,109.404701667054,81.4431730260211,7.48262161130774,6.80818616304244,83.3986622854569,21.0663801638964
"hsa-miR-1227-5p",0,0,0,0,0,0,0,0,0,0,16.6797324570914,0
"hsa-miR-1228-3p",371.039156999035,452.420449404313,705.643426329105,688.67559075453,422.146880730314,591.765998816468,656.428210002325,753.349350490695,568.679242459388,708.051360956414,517.071706169833,526.659504097411
"hsa-miR-1228-5p",791.550201597942,1080.78218468808,808.908317987023,731.717815176688,1345.59318232788,1399.57355275641,1217.12730604598,1303.09076841634,643.505458572465,612.73675467382,467.032508798559,463.460363605722
"hsa-miR-1229-3p",0,0,0,0,0,0,0,0,7.48262161130774,0,16.6797324570914,0
"hsa-miR-1229-5p",0,0,0,0,0,0,0,0,14.9652432226155,0,0,0
"hsa-miR-122b-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122b-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1231",717.342370198135,578.092796461067,619.589349947507,559.548917488056,1385.16945239634,1596.82888569523,1695.77287583934,1588.14187400741,1331.90664681278,1450.14365272804,1067.50287725385,1032.25262803093
"hsa-miR-1233-3p",1212.06124619685,1131.05112351078,1531.76255959245,1377.35118150906,1345.59318232788,1625.00821897221,1668.42170042258,1364.17314818585,1646.1767544877,2056.07222123882,1601.25431588077,1474.64661147275
"hsa-miR-1233-5p",1261.53313379672,779.168551751872,894.962394368621,753.238927387767,1926.04514333206,3174.87154920581,2625.7128400093,2748.70708962821,860.50148530039,878.256015032475,733.908228112021,505.593123933514
"hsa-miR-1234-3p",0,0,0,0,0,0,0,0,0,0,0,0
