"","gene_id","SRR2105144.count","SRR2105145.count","SRR2105146.count","SRR2105154.count","SRR2105158.count","SRR2105187.count","SRR2105188.count","SRR2105192.count","SRR2105194.count","SRR2105197.count","SRR2105198.count","SRR2105228.count","SRR2105230.count","SRR2105272.count","SRR2105275.count","SRR2105276.count","SRR2105319.count","SRR2105320.count","SRR2105321.count","SRR2105322.count","SRR2105325.count","SRR2105326.count","SRR2105373.count","SRR2105374.count","SRR2105376.count","SRR2105429.count","SRR2105430.count","SRR2105431.count","SRR2105432.count","SRR2105437.count","SRR2105438.count","SRR2105471.count","SRR2105472.count","SRR2105477.count","SRR2105478.count","SRR2105488.count","SRR2105491.count","SRR2105492.count"
"2249","hsa-miR-6797-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2250","hsa-miR-6798-3p",646.712879691195,675.595119818782,621.076680788767,493.011561121108,201.24773596297,196.078431372549,313.994939140393,314.305746959696,405.480387553886,574.89054968381,485.449296098521,611.57763507633,336.646995920631,582.451566378677,807.669347192471,725.569737145872,250.015625976624,563.891677784043,363.876943433675,556.792873051225,218.526162437781,385.623939534166,507.2864785095,406.790692628953,699.823837447815,324.933208173875,444.658539296698,371.348407327942,431.160857492713,286.829734682495,178.457616316125,669.686822926925,605.247230336044,427.610109603223,197.787418083044,497.265042267529,452.618038019915,272.038931793795
"2251","hsa-miR-6798-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2519532470779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8220020010482,30.2265479770883
"2252","hsa-miR-6799-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4902212987698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2253","hsa-miR-6799-5p",20.2097774903498,317.927115208838,177.450480225362,24.6505780560554,0,0,55.4108716130105,48.3547303014917,0,44.2223499756777,51.0999259051074,23.522216733705,79.2110578636778,0,70.2321171471714,82.4511064938491,93.7558597412338,110.027644445667,0,30.9329373917347,97.1227388612359,107.974703069567,0,0,24.1318564637178,144.414759188389,0,0,17.2464342997085,191.219823121664,127.469725940089,0,0,0,26.3716557444059,55.2516713630587,47.6440040020963,60.4530959541766
"2254","hsa-miR-6800-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2255","hsa-miR-6800-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2256","hsa-miR-6801-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2257","hsa-miR-6801-5p",121.258664942099,715.336009219886,510.170130647916,172.554046392388,44.7217191028823,392.156862745098,129.292033763691,314.305746959696,192.069657262367,398.001149781099,536.549222003628,47.04443346741,257.435938056953,180.282627688638,316.044527162271,280.333762079087,531.283205200325,440.110577782668,363.876943433675,355.728780004949,461.33300959087,323.9241092087,507.2864785095,216.955036068775,265.450421100895,252.725828579681,185.274391373624,165.043736590196,258.696514495628,621.464425145407,777.565328234544,196.966712625566,131.575484855662,45.0115904845498,65.9291393610148,303.884192496823,166.754014007337,211.585835839618
"2258","hsa-miR-6802-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2259","hsa-miR-6802-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2260","hsa-miR-6803-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5057952422749,0,0,0,0
"2261","hsa-miR-6803-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4902212987698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
