"","gene_id","SRR8185859.count","SRR8185860.count","SRR8185861.count","SRR8185862.count","SRR8185863.count","SRR8185864.count","SRR8185865.count","SRR8185866.count","SRR8185871.count","SRR8185872.count","SRR8185873.count","SRR8185874.count","SRR8185875.count","SRR8185876.count","SRR8185878.count","SRR8185891.count","SRR8185892.count","SRR8185896.count","SRR8185897.count","SRR8185898.count","SRR8185899.count","SRR8185902.count","SRR8185905.count","SRR8185906.count","SRR8185907.count","SRR2105159.count","SRR2105160.count","SRR2105161.count","SRR2105162.count","SRR2105165.count","SRR2105166.count","SRR2105207.count","SRR2105208.count","SRR2105239.count","SRR2105240.count","SRR2105247.count","SRR2105335.count","SRR2105336.count","SRR8992369.count","SRR8992370.count","SRR8992371.count"
"1489","hsa-miR-4798-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0
"1490","hsa-miR-4798-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1491","hsa-miR-4799-3p",0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
"1492","hsa-miR-4799-5p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1493","hsa-miR-4800-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1494","hsa-miR-4800-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1495","hsa-miR-4801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1496","hsa-miR-4802-3p",4,1,5,0,1,2,1,0,5,10,9,5,9,12,11,0,1,11,12,11,14,22,8,23,21,1,2,2,0,1,2,3,13,2,6,2,2,3,3,1,1
"1497","hsa-miR-4802-5p",8,4,5,3,0,4,0,0,49,48,18,22,19,23,15,4,2,33,35,33,43,41,27,27,28,4,15,2,7,4,9,1,19,4,11,7,9,8,3,1,1
"1498","hsa-miR-4803",0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,3,3,3,6,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1499","hsa-miR-4804-3p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500","hsa-miR-4804-5p",0,0,0,0,0,0,1,0,2,5,10,17,13,9,0,1,0,6,6,9,12,4,7,6,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"1501","hsa-miR-483-3p",12,17,17,21,14,23,15,12,135,141,109,117,98,122,106,18,16,184,152,176,162,268,236,220,233,31,72,17,41,40,57,12,65,20,75,48,33,82,10,13,13
"1502","hsa-miR-483-5p",18,17,20,31,19,20,12,39,108,79,171,145,195,156,163,20,43,185,211,228,265,810,220,249,279,39,92,39,65,33,50,26,226,31,141,60,101,327,7,14,1
"1503","hsa-miR-484",5,5,3,1,2,4,1,0,322,316,17,34,20,21,11,7,4,25,22,19,33,37,41,51,47,2,23,6,9,10,18,3,21,2,21,13,11,22,2,2,0
"1504","hsa-miR-485-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1505","hsa-miR-485-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
