"","gene_id","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"61","hsa-miR-106a-3p",0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"62","hsa-miR-106a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"63","hsa-miR-106b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","hsa-miR-106b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","hsa-miR-107",51,43,90,49,52,69,76,40,16,22,11,22,35,31,1,9,8,26,12,3,7
"66","hsa-miR-10a-3p",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"67","hsa-miR-10a-5p",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","hsa-miR-10b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","hsa-miR-10b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"70","hsa-miR-11181-3p",1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0
"71","hsa-miR-11181-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","hsa-miR-11399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","hsa-miR-11400",0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"74","hsa-miR-11401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","hsa-miR-1178-3p",43,28,55,39,101,161,108,78,161,190,59,58,105,178,251,41,53,57,62,42,53
"76","hsa-miR-1178-5p",9,9,11,17,42,52,42,27,26,22,9,9,150,107,152,70,46,49,69,35,44
"77","hsa-miR-1179",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"78","hsa-miR-1180-3p",7,11,23,18,12,31,24,7,271,341,56,47,18,19,23,5,1,8,1,1,2
"79","hsa-miR-1180-5p",0,1,1,0,2,1,2,1,13,11,3,2,0,2,0,0,1,0,0,1,0
"80","hsa-miR-1181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","hsa-miR-1182",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"82","hsa-miR-1183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","hsa-miR-1184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","hsa-miR-1185-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","hsa-miR-1185-2-3p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"86","hsa-miR-1185-5p",0,1,1,0,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"87","hsa-miR-1193",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"88","hsa-miR-1197",0,0,0,0,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"89","hsa-miR-1199-3p",0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"90","hsa-miR-1199-5p",0,1,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,3,0,0,0
"91","hsa-miR-1200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","hsa-miR-1202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","hsa-miR-1203",1,0,0,0,1,1,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0
"94","hsa-miR-1204",2,0,3,1,1,8,5,1,12,20,3,3,4,5,7,1,3,1,0,1,3
"95","hsa-miR-1205",18,14,34,16,31,40,23,18,80,102,34,18,19,28,11,5,2,2,3,1,9
"96","hsa-miR-1206",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","hsa-miR-1207-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"98","hsa-miR-1207-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","hsa-miR-1208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","hsa-miR-12113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","hsa-miR-12114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","hsa-miR-12115",70,67,103,80,215,366,240,137,508,566,160,130,400,358,416,139,76,164,113,59,105
"103","hsa-miR-12116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","hsa-miR-12117",0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
"105","hsa-miR-12118",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"106","hsa-miR-12119",104,71,94,71,30,66,81,83,691,1296,254,283,33,60,49,2,5,43,2,7,8
"107","hsa-miR-12120",1,0,0,0,0,0,1,0,2,10,3,1,0,0,1,0,1,0,0,0,0
"108","hsa-miR-12121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","hsa-miR-12122",143,91,179,162,224,335,224,172,383,404,138,88,885,382,290,65,67,307,81,39,90
"110","hsa-miR-12123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","hsa-miR-12124",4,2,5,5,3,2,3,0,2,1,0,0,3,1,0,2,1,1,0,0,0
"112","hsa-miR-12125",24,23,26,19,47,81,58,38,107,100,43,22,35,56,37,15,7,16,22,15,6
"113","hsa-miR-12126",1,1,0,0,0,7,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"114","hsa-miR-12127",0,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1
"115","hsa-miR-12128",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"116","hsa-miR-12129",89,74,126,112,203,333,270,172,355,434,134,117,169,232,336,44,50,104,63,36,34
"117","hsa-miR-12130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","hsa-miR-12131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","hsa-miR-12132",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"120","hsa-miR-12133",1,2,4,1,0,1,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0
"121","hsa-miR-12135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","hsa-miR-12136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","hsa-miR-122-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"124","hsa-miR-122-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","hsa-miR-1224-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","hsa-miR-1224-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","hsa-miR-1225-3p",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","hsa-miR-1225-5p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","hsa-miR-1226-3p",61,47,106,63,162,315,168,106,395,419,153,126,172,197,164,45,44,66,54,48,76
"130","hsa-miR-1226-5p",34,29,37,33,162,266,145,95,74,57,15,14,308,279,258,112,65,122,99,45,84
"131","hsa-miR-1227-3p",8,13,4,5,2,7,8,4,1,1,5,1,8,12,6,0,0,1,0,2,0
"132","hsa-miR-1227-5p",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"133","hsa-miR-1228-3p",15,18,41,32,32,63,48,37,76,104,31,25,43,53,87,8,8,12,6,8,10
"134","hsa-miR-1228-5p",32,43,47,34,102,149,89,64,86,90,28,22,273,213,245,109,58,91,77,57,61
"135","hsa-miR-1229-3p",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"136","hsa-miR-1229-5p",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"137","hsa-miR-122b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","hsa-miR-122b-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","hsa-miR-1231",29,23,36,26,105,170,124,78,178,213,64,49,62,93,92,24,26,33,34,23,32
"140","hsa-miR-1233-3p",49,45,89,64,102,173,122,67,220,302,96,70,126,163,317,51,35,59,55,40,52
"141","hsa-miR-1233-5p",51,31,52,35,146,338,192,135,115,129,44,24,144,210,228,29,37,48,50,40,72
"142","hsa-miR-1234-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","hsa-miR-1236-3p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","hsa-miR-1236-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","hsa-miR-1237-3p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"146","hsa-miR-1237-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","hsa-miR-1238-3p",0,2,2,1,4,2,2,3,2,0,1,1,27,19,15,4,1,12,3,0,1
"148","hsa-miR-1238-5p",4,6,1,3,14,11,8,1,12,18,2,1,17,21,3,2,1,3,0,3,0
"149","hsa-miR-124-3p",27,29,63,44,26,23,11,11,28,16,48,28,1,1,0,5,0,1,1,0,0
"150","hsa-miR-124-5p",66,77,98,86,173,98,105,84,93,235,81,33,579,805,481,59,38,222,111,38,68
"151","hsa-miR-1243",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"152","hsa-miR-1244",0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"153","hsa-miR-1245a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","hsa-miR-1245b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
