"","gene_id","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"2337","hsa-miR-6841-5p",0,0,0,0,0,0,0,0,7.48262161130774,0,0,0,8.6008927726698,0,0,0,0,30.2837588201448,0,0,0
"2338","hsa-miR-6842-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2339","hsa-miR-6842-5p",0,25.1344694113507,0,0,0,0,0,0,14.9652432226155,13.6163723260849,0,0,0,0,0,0,0,0,0,0,0
"2340","hsa-miR-6843-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2341","hsa-miR-6844",0,0,0,0,0,0,0,0,7.48262161130774,13.6163723260849,0,0,0,0,0,0,0,0,0,0,0
"2342","hsa-miR-6845-3p",0,0,0,0,0,0,0,0,7.48262161130774,0,0,0,0,0,0,0,0,0,0,0,0
"2343","hsa-miR-6845-5p",0,0,0,0,0,18.7862221846498,0,20.3607932565053,0,0,0,0,8.6008927726698,0,0,0,0,0,0,0,0
"2344","hsa-miR-6846-3p",5021.39659138694,3870.70828934801,5146.03376761957,4411.82800327121,6226.66649077213,7317.23354092109,6796.76709106574,5660.30052530847,11560.6503894705,11744.1211312482,11142.061281337,10217.1943794898,5229.34280578324,6353.15102261682,7514.35948780102,7422.55990648743,8883.95335924486,8509.73622846068,8616.04738826063,12462.1084540249,12168.7929342493
"2345","hsa-miR-6846-5p",173.15160659955,251.344694113507,137.686522210557,279.774458744028,659.604501141116,572.979776631818,533.347920626889,407.215865130105,179.582918671386,74.8900477934669,33.3594649141828,84.2655206555857,765.479456767612,951.970579098734,600.727196079465,1168.90707188778,624.652970571904,878.229005784198,195.819258824105,926.237790501852,539.744847890088
"2346","hsa-miR-6847-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2347","hsa-miR-6847-5p",0,0,0,0,13.1920900228223,0,13.6755877083818,0,29.930486445231,20.4245584891273,16.6797324570914,0,0,0,0,0,0,0,0,0,0
"2348","hsa-miR-6848-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2349","hsa-miR-6848-5p",0,0,0,0,0,0,0,0,0,13.6163723260849,16.6797324570914,0,0,0,0,0,0,60.5675176402895,0,0,0
"2350","hsa-miR-6849-3p",0,0,0,0,13.1920900228223,0,0,0,0,0,0,0,8.6008927726698,0,0,0,0,0,0,0,0
"2351","hsa-miR-6849-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9548147060263,168.406871000337,0
"2352","hsa-miR-6850-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2353","hsa-miR-6850-5p",0,0,0,0,0,0,0,0,0,13.6163723260849,16.6797324570914,0,0,0,0,0,0,0,0,0,0
"2354","hsa-miR-6851-3p",0,0,17.2108152763196,0,0,0,0,0,0,0,0,0,0,0,0,58.4453535943892,0,0,0,0,0
"2355","hsa-miR-6851-5p",0,25.1344694113507,0,0,13.1920900228223,0,0,0,0,0,0,0,8.6008927726698,30.0622288136442,0,58.4453535943892,0,30.2837588201448,0,0,0
"2356","hsa-miR-6852-3p",49.4718875998714,0,0,0,13.1920900228223,9.39311109232489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2357","hsa-miR-6852-5p",74.2078313998071,25.1344694113507,51.6324458289589,0,13.1920900228223,0,27.3511754167635,20.3607932565053,14.9652432226155,47.6573031412971,0,63.1991404916893,0,0,0,58.4453535943892,0,0,0,0,0
"2358","hsa-miR-6853-3p",222.623494199421,201.075755290806,258.162229144795,150.647785477553,79.1525401369339,112.717333107899,41.0267631251453,20.3607932565053,14.9652432226155,13.6163723260849,116.75812719964,126.398280983379,94.6098204993678,70.1452005651699,0,0,0,151.418794100724,48.9548147060263,168.406871000337,49.0677134445535
"2359","hsa-miR-6853-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2360","hsa-miR-6854-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2361","hsa-miR-6854-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2362","hsa-miR-6855-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
